Target Name, latitude, longitude, count_GT200_soundings, count_all, ratio
Auckland_NewZealand,-36.837498,174.769989,37.0,64.0,0.578125
Dakar_Senegal,14.75,-17.2,32.0,46.0,0.6956521739130435
DaresSalaam_Tanzania,-6.840556,39.245556,34.0,44.0,0.7727272727272727
Freetown_SierraLeone,8.451388,-13.238889,12.0,33.0,0.36363636363636365
Fuzhou_China,26.070835,119.296112,0.0,0.0,0.0
Lisbon_Portugal,38.705,-9.0375,38.0,57.0,0.6666666666666666
Medellin_Colombia,6.261389,-75.577225,4.0,6.0,0.6666666666666666
Quito_Ecuador,-0.181389,-78.506386,23.0,37.0,0.6216216216216216
Salvador_Brazil,-12.919445,-38.428059,42.0,50.0,0.84
Abidjan_CotedIvoire,5.358333,-4.008333,28.0,53.0,0.5283018867924528
Accra_Ghana,5.65,-0.195556,30.0,49.0,0.6122448979591837
Venice_Italy,45.482502,12.231944,20.0,32.0,0.625
Curitiba_Brazil,-25.428888,-49.265278,24.0,35.0,0.6857142857142857
AddisAbaba_Ethiopia,9.018888,38.752499,38.0,47.0,0.8085106382978723
Jaipur_India,26.912222,75.787224,13.0,19.0,0.6842105263157895
Christchurch_NewZealand,-43.528889,172.545837,29.0,48.0,0.6041666666666666
Kinhasa_DRCongo,-4.3375,15.300556,20.0,37.0,0.5405405405405406
railroadValley,38.497,-115.6902,163.0,210.0,0.7761904761904762
calibration_Algeria4,30.04,5.59,137.0,156.0,0.8782051282051282
calibration_Niger3,21.57,7.96,143.0,157.0,0.910828025477707
calibration_Egypt1,27.12,26.1,118.0,136.0,0.8676470588235294
calibration_Arabia5,18.88,46.76,142.0,160.0,0.8875
calibration_Algeria1,23.8,-0.4,128.0,152.0,0.8421052631578947
calibration_Mauritania1,19.4,-9.3,108.0,138.0,0.782608695652174
calibration_Libya4,28.55,23.39,95.0,106.0,0.8962264150943396
calibration_Algeria2,26.09,-1.38,63.0,73.0,0.863013698630137
calibration_Niger1,19.67,9.81,46.0,63.0,0.7301587301587301
calibration_Mauritania2,20.85,-8.78,41.0,49.0,0.8367346938775511
val_Thessaloniki_Greece,40.63,22.97,189.0,252.0,0.75
val_Gobabeb_Namibia,-23.56,15.04,179.0,192.0,0.9322916666666666
val_Biust_Botswana,-22.59,27.12,163.0,205.0,0.7951219512195122
val_Jinja_Uganda,0.503,33.209,138.0,192.0,0.71875
validation_portovelho,-8.774,-63.87,83.0,140.0,0.5928571428571429
val_Yangambi_DRC,0.81,24.48,31.0,52.0,0.5961538461538461
Flat_Desert_Test_0000,30.5,2.99,3.0,3.0,1.0
Flat_Desert_Test_0001,28.4,24.3,2.0,2.0,1.0
Flat_Desert_Test_0002,-23.99,139.85,2.0,2.0,1.0
Flat_Desert_Test_0003,30.84,10.0,1.0,1.0,1.0
Flat_Desert_Test_0004,26.13,30.86,2.0,2.0,1.0
Flat_Desert_Test_0005,-21.9,121.45,3.0,3.0,1.0
Flat_Desert_Test_0006,31.89,7.52,0.0,0.0,0.0
Flat_Desert_Test_0007,-19.31,125.75,2.0,2.0,1.0
Flat_Desert_Test_0008,31.36,-1.0,2.0,2.0,1.0
Flat_Desert_Test_0009,28.22,18.84,1.0,2.0,0.5
Flat_Desert_Test_0010,32.76,7.3,0.0,0.0,0.0
Flat_Desert_Test_0011,28.75,25.56,0.0,0.0,0.0
Flat_Desert_Test_0012,31.36,11.0,0.0,0.0,0.0
Flat_Desert_Test_0013,-22.11,122.72,9.0,9.0,1.0
ecostress_afln,53.310312,-4.291142,0.0,0.0,0.0
ecostress_ar_slu,-33.4648,-66.4598,102.0,127.0,0.8031496062992126
ecostress_ar_vir,-28.2395,-56.1886,82.0,116.0,0.7068965517241379
ecostress_au_asm,-22.283,133.249,139.0,176.0,0.7897727272727273
ecostress_au_cum,-33.6153,150.7236,4.0,5.0,0.8
ecostress_au_das,-14.1592,131.3881,30.0,38.0,0.7894736842105263
ecostress_au_dry,-15.2588,132.3706,49.0,59.0,0.8305084745762712
ecostress_au_how,-12.4952,131.15005,8.0,8.0,1.0
ecostress_au_lit,-13.179,130.7945,3.0,4.0,0.75
ecostress_au_stp,-17.1508,133.3503,32.0,40.0,0.8
ecostress_au_tum,-35.6566,148.1517,57.0,74.0,0.7702702702702703
ecostress_au_wom,-37.4222,144.0944,27.0,44.0,0.6136363636363636
ecostress_au_ync,-34.9893,146.2907,54.0,71.0,0.7605633802816901
ecostress_bdog,51.530216,-1.481935,6.0,10.0,0.6
ecostress_be_lon,50.305,5.9981,15.0,17.0,0.8823529411764706
ecostress_be_vie,50.55184000000001,4.746112999999999,10.0,17.0,0.5882352941176471
ecostress_br_cmt,-13.2875,-56.0882,74.0,110.0,0.6727272727272727
ecostress_br_no,-16.616667,-56.76666700000001,106.0,141.0,0.75177304964539
ecostress_ca_pr_emss,56.7438,-118.344,0.0,0.0,0.0
ecostress_ca_tp,42.713075,-80.431,0.0,1.0,0.0
ecostress_ch_dav,46.815333,9.855917,4.0,6.0,0.6666666666666666
ecostress_ch_fru,47.115833,8.537778,4.0,6.0,0.6666666666666666
ecostress_ch_lae,47.478333,8.364389,9.0,14.0,0.6428571428571429
ecostress_cr_fsc,10.4189,-85.4732,20.0,24.0,0.8333333333333334
ecostress_cr_srnp_emss,10.8418,-85.6156,31.0,54.0,0.5740740740740741
ecostress_cz_bk1,49.5021,18.5369,66.0,104.0,0.6346153846153846
ecostress_de_rus,50.8659,6.4472,35.0,52.0,0.6730769230769231
ecostress_de_tha,50.96235,13.56516,15.0,20.0,0.75
ecostress_efgf,52.470474,-0.192985,0.0,0.0,0.0
ecostress_fr_fon,48.4764,2.7801,10.0,14.0,0.7142857142857143
ecostress_il_yat,31.3451,35.0519,16.0,21.0,0.7619047619047619
ecostress_it_cp2,41.7043,12.3573,19.0,31.0,0.6129032258064516
ecostress_it_tor,45.8444,7.5781,12.0,16.0,0.75
ecostress_ke_mak,-3.425806,38.140667,35.0,45.0,0.7777777777777778
ecostress_kr_gck,37.748333,127.162222,9.0,12.0,0.75
ecostress_ne_waf,13.64758138,2.63368891,78.0,109.0,0.7155963302752294
ecostress_npbb,54.69600000000001,-2.388,0.0,0.0,0.0
ecostress_nz_bfm,-43.593,171.928,21.0,29.0,0.7241379310344828
ecostress_nz_kop,-37.38800000000001,175.554,19.0,30.0,0.6333333333333333
ecostress_nz_oxf,-43.2619,172.2108,73.0,106.0,0.6886792452830188
ecostress_nz_sco,-37.46,175.22,113.0,153.0,0.738562091503268
ecostress_sleg,51.207282,-2.828505,46.0,82.0,0.5609756097560976
ecostress_ssh_czo_cal,34.60811,-81.72247,25.0,39.0,0.6410256410256411
ecostress_ssh_czo_shale,40.66573,-77.904076,3.0,3.0,1.0
ecostress_us_arm,36.6058,-97.4888,5.0,5.0,1.0
ecostress_us_bar,44.0646,-71.28808000000001,48.0,77.0,0.6233766233766234
